instance,time_s,conflicts,timed_out,too_fast,too_few_conflicts,kept,reason
10pipe_k.cnf,300,196845,True,False,False,True,kept_timeout
13pipe_k.cnf,300,131161,True,False,False,True,kept_timeout
143.smt2.cnf,300,131161,True,False,False,True,kept_timeout
14pipe_q0_k.cnf,300,131161,True,False,False,True,kept_timeout
20-100-frag12-0_sat.cnf,300,664843,True,False,False,True,kept_timeout
20-100-frag12-14_sat.cnf,300,664843,True,False,False,True,kept_timeout
20-100-frag12-32_sat.cnf,300,664843,True,False,False,True,kept_timeout
20-100-frag12-53_sat.cnf,300,664843,True,False,False,True,kept_timeout
20-100-lambda100-14_sat.cnf,300,443160,True,False,False,True,kept_timeout
20-100-lambda100-14_unsat.cnf,300,443160,True,False,False,True,kept_timeout
20-100-lambda100-47_unsat.cnf,300,295371,True,False,False,True,kept_timeout
20-100-lambda100-49_sat.cnf,300,443160,True,False,False,True,kept_timeout
20-100-lambda100-65_sat.cnf,300,443160,True,False,False,True,kept_timeout
20-100-lambda100-89_sat.cnf,300,443160,True,False,False,True,kept_timeout
20-100-lambda100-89_unsat.cnf,300,443160,True,False,False,True,kept_timeout
20-100-p100-55_sat.cnf,300,131161,True,False,False,True,kept_timeout
20-100-p100-55_unsat.cnf,300,131161,True,False,False,True,kept_timeout
2bitcomp_5.hg_20.cnf,300,196845,True,False,False,True,kept_timeout
51.smt2.cnf,300,196845,True,False,False,True,kept_timeout
73.smt2.cnf,300,196845,True,False,False,True,kept_timeout
79.smt2.cnf,300,131161,True,False,False,True,kept_timeout
9dlx_vliw_at_b_iq5.cnf,300,295371,True,False,False,True,kept_timeout
9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,300,131161,True,False,False,True,kept_timeout
ACG-15-10p1.cnf,300,38719,True,False,False,True,kept_timeout
ak016modbtsimpbisc.cnf,300,443160,True,False,False,True,kept_timeout
ak032modbtmodbtisc.cnf,300,295371,True,False,False,True,kept_timeout
ak128paralparalisc.cnf,300,87372,True,False,False,True,kept_timeout
assoc_mult_err_3.c.cnf,300,664843,True,False,False,True,kept_timeout
at-least-two-aaai10-planning-ipc5-pathways-17-step20.cnf,300,131161,True,False,False,True,kept_timeout
at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf,300,87372,True,False,False,True,kept_timeout
at-least-two-hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,300,196845,True,False,False,True,kept_timeout
at-least-two-ibm-2004-23-k100.cnf,300,295371,True,False,False,True,kept_timeout
at-least-two-maris-s03-gripper11.cnf,300,664843,True,False,False,True,kept_timeout
at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,300,87372,True,False,False,True,kept_timeout
at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,300,58180,True,False,False,True,kept_timeout
at-least-two-traffic_b_unsat.cnf,300,295371,True,False,False,True,kept_timeout
