instance,label,speedup,time_agg,status_agg,time_cons,status_cons,features_written
10pipe_k.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
13pipe_k.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
143.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
14pipe_q0_k.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-frag12-0_sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-frag12-14_sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-frag12-32_sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-frag12-53_sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-lambda100-14_sat.cnf,AGG,1.0,687.17,SAT,687.44,SAT,True
20-100-lambda100-14_unsat.cnf,AGG,1.001,372.41,UNSAT,372.7,UNSAT,True
20-100-lambda100-47_unsat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-lambda100-49_sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-lambda100-65_sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-lambda100-89_sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-lambda100-89_unsat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-p100-55_sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
20-100-p100-55_unsat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
2bitcomp_5.hg_20.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
51.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
73.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
79.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
9dlx_vliw_at_b_iq5.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ACG-15-10p1.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ak016modbtsimpbisc.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ak032modbtmodbtisc.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ak128paralparalisc.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
assoc_mult_err_3.c.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
at-least-two-aaai10-planning-ipc5-pathways-17-step20.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
at-least-two-hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,AGG,1.004,334.57,UNSAT,335.93,UNSAT,True
at-least-two-ibm-2004-23-k100.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
at-least-two-maris-s03-gripper11.cnf,AGG,1.0,459.86,SAT,459.87,SAT,True
at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,AGG,1.002,500.86,UNSAT,501.82,UNSAT,True
at-least-two-traffic_b_unsat.cnf,AGG,1.0,1158.83,UNSAT,1159.05,UNSAT,True
at-least-two-traffic_f_unknown.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
at-least-two-traffic_kkb_unknown.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
at-least-two-traffic_pcb_unknown.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
at-least-two-vmpc_28.cnf,CONS,1.126,1012.93,SAT,899.37,SAT,True
b04_s_unknown_pre.cnf,CONS,1.001,773.88,SAT,773.44,SAT,True
b2005-p1-12x12c10h7-Ser3-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p1-12x12c10h7-Ser4-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p1-12x12c10h7-Ser5-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p1-14x14c17h9-Ser3-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p2-12x12c10h7-Ser7-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p2-14x14c17h9-Ser5-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p2-14x14c17h9-Ser6-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p3-12x12c10h7-Ser7-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p3-14x14c17h9-Ser3-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p4-12x12c10h7-Ser3-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
